call_id,caller_num,receiver_num,call_type,duration_sec,timestamp,tower_id,signal_strength
44ef65d2-29f1-422e-bce7-7fe69c15e4ce,+94716865675,+94717497895,VOICE,717,2026-01-07 06:08:01,TOWER_020,1
849a6d55-a3b0-4ea3-b8cd-09158245a5c5,+94780773230,+94790540365,VOICE,313,2026-01-07 18:00:01,TOWER_031,3
d45e5ed4-dc4f-48ab-b9cc-36370fca5098,+94714758437,+94773233653,VOICE,453,2026-01-06 23:30:01,TOWER_048,3
5c7f7c3b-1ac1-49fc-91c9-2ed802f58b05,+94759611704,+94747211263,DATA,0,2026-01-06 23:29:01,TOWER_007,5
13c48b21-acaa-49f3-88ca-08287abe4f9e,+94783028946,+94785086587,DATA,0,2026-01-07 19:11:01,TOWER_025,5
feabdd53-ab77-447f-89ad-fb575583f926,+94755932133,+94760286203,SMS,0,2026-01-07 01:00:01,TOWER_047,2
ec570f33-7258-44d5-a1dc-aa769ac77c5e,+94732869306,+94777714928,DATA,0,2026-01-07 13:45:01,TOWER_030,5
5c450604-290f-4eaf-9eba-0132e763f1b4,+94750189193,+94795471335,VOICE,68,2026-01-06 21:15:01,TOWER_019,5
73532c3b-fbcd-4c5b-aa93-82e290d2332d,+94742563466,+94793947958,VOICE,49,2026-01-07 04:31:01,TOWER_009,2
6f620dce-4620-4dd3-8a9d-9c240fdc6b21,+94762634646,+94746788894,VOICE,11,2026-01-07 16:51:01,TOWER_024,1
2a200d8b-4fef-4687-b27c-4193ab6f3983,+94793476428,+94796251531,VOICE,763,2026-01-07 09:09:01,TOWER_013,2
5a859093-bfec-4d6d-9d5c-2e71589c24df,+94753418591,+94745283224,SMS,0,2026-01-07 19:34:01,TOWER_028,2
4bb68abb-0ac8-4985-84c5-9bf1bc92e5d5,+94716755170,+94762573147,DATA,0,2026-01-07 11:17:01,TOWER_027,4
bb26846e-0c82-46c9-bf17-13e439e0afda,+94770350673,+94734651280,DATA,0,2026-01-07 14:42:01,TOWER_041,3
deea6453-bfbb-485f-b51e-d2e0ddb770f5,+94796910785,+94768077421,SMS,0,2026-01-06 22:00:01,TOWER_029,4
bd705b35-432e-48c6-86fc-5dde58ee848d,+94718867768,+94724138430,DATA,0,2026-01-07 18:16:01,TOWER_015,3
4cdeb374-0651-48e9-b245-d5d087ac1497,+94733934083,+94729142900,VOICE,185,2026-01-07 05:54:01,TOWER_048,3
305ce6f1-d1bf-4797-b724-e179e9d6c98e,+94793249427,+94782895476,VOICE,130,2026-01-07 09:46:01,TOWER_020,5
b105cbab-c8fa-4026-930e-03b23affb34d,+94778486515,+94764052150,VOICE,426,2026-01-06 22:59:01,TOWER_018,3
a3e3ace2-48a1-4e31-905c-16a535317a58,+94775200948,+94739904280,SMS,0,2026-01-07 03:19:01,TOWER_007,5
c22386fb-e221-4161-8062-21b24420885f,+94747971261,+94716651503,DATA,0,2026-01-07 14:08:01,TOWER_014,4
054d14ab-62af-4145-a9e0-6b5cdaec19ef,+94773394683,+94739033430,SMS,0,2026-01-07 08:40:01,TOWER_002,2
1200adc6-0f7d-4480-b40f-7273c303a3e2,+94721084163,+94761739690,VOICE,160,2026-01-07 18:12:01,TOWER_024,3
190dcdb1-c597-4b36-9108-be07f37280ed,+94722776809,+94712694878,VOICE,545,2026-01-07 03:23:01,TOWER_038,3
02728a03-36d7-47c1-a2ef-b0f722155a35,+94734438179,+94736502582,SMS,0,2026-01-07 13:28:01,TOWER_039,5
2918811a-6620-440c-b00e-ca6dc71a10f5,+94743263826,+94784300982,VOICE,624,2026-01-07 05:38:01,TOWER_042,1
322d1812-527f-4a91-b35a-564d5501120f,+94710661962,+94744864772,DATA,0,2026-01-07 17:15:01,TOWER_033,2
22c0a778-34b4-424a-b71f-d71d6b2ab874,+94758590160,+94780686221,VOICE,500,2026-01-07 21:03:01,TOWER_025,3
2024a59a-219a-4ca6-b1e7-d782d674b4d4,+94751941592,+94763124863,VOICE,310,2026-01-07 20:47:01,TOWER_045,3
74815844-00ae-4945-8e4e-9ca87ecf178d,+94724918618,+94744658944,VOICE,760,2026-01-07 13:26:01,TOWER_007,4
3db8a59d-7bbc-4799-8ab2-f02dcfda6e19,+94770863420,+94718203603,VOICE,806,2026-01-07 16:33:01,TOWER_028,5
05630767-1c37-41b0-9e21-201e0d180159,+94761144152,+94726582969,VOICE,246,2026-01-07 11:06:01,TOWER_005,4
f42d11a7-7d25-4c0a-91e8-57e7667a890c,+94784134463,+94743306883,SMS,0,2026-01-07 19:17:01,TOWER_042,2
f48fded8-3746-4105-85bd-3981914e09e0,+94730559135,+94780360335,SMS,0,2026-01-07 12:35:01,TOWER_008,1
dfcbdc36-c740-4b03-8b22-dc7be4b01f89,+94753454837,+94757544900,SMS,0,2026-01-07 09:49:01,TOWER_031,3
c62451cf-2b5e-4341-8b4c-694d5520dc07,+94722394729,+94746101991,VOICE,84,2026-01-07 20:22:01,TOWER_022,2
4403910c-099b-4805-bebe-207735a43d55,+94768084139,+94746659859,VOICE,581,2026-01-07 07:57:01,TOWER_014,1
3976f223-3428-4077-a3fc-c35fc6b47057,+94731784891,+94798633510,SMS,0,2026-01-07 15:12:01,TOWER_036,2
83f0bdae-cd92-4b17-b1e1-07bab0fd8bfb,+94710123157,+94769012507,VOICE,942,2026-01-07 18:15:01,TOWER_032,4
d3f186e4-d046-4511-a98d-992db92b7af3,+94733668267,+94797698019,VOICE,486,2026-01-07 11:53:01,TOWER_013,2
3c3c135e-5cee-48b9-9fa6-ea8c82cb2e2f,+94772998457,+94768486397,VOICE,78,2026-01-07 20:08:01,TOWER_031,5
35bd5189-6ca2-404c-9e98-eb6b3c12aca0,+94774663219,+94797749085,VOICE,789,2026-01-07 01:48:01,TOWER_049,5
b54b41b9-1967-42c4-8897-0d144ab5a520,+94775151646,+94794463327,SMS,0,2026-01-07 07:26:01,TOWER_040,1
a503aa59-e4e9-42fd-9cbb-f7a6e2041597,+94732199463,+94722664860,VOICE,462,2026-01-06 21:44:01,TOWER_048,2
88fe6a8c-ae41-4656-ab20-25acb0d4d933,+94764000653,+94761288673,SMS,0,2026-01-07 02:02:01,TOWER_019,1
e0c65feb-01f3-452f-a714-bf95d14cd4d8,+94789722338,+94731158502,VOICE,213,2026-01-07 19:04:01,TOWER_040,5
1c4711f2-3f44-4173-b3e7-a6b58687eb64,+94776727530,+94756860001,VOICE,682,2026-01-06 22:07:01,TOWER_035,4
d71d002b-ae46-4998-8c90-9d0149b1703d,+94737896757,+94778548762,VOICE,183,2026-01-07 12:40:01,TOWER_025,5
59f6dd1f-f68d-4546-8008-2047703c752d,+94787875045,+94798689625,VOICE,328,2026-01-06 23:14:01,TOWER_016,1
79bd47fe-06ed-413f-a904-d6809c8029ed,+94724776837,+94757234186,VOICE,825,2026-01-07 17:29:01,TOWER_043,2
b50dd784-cd65-4007-b23e-da7a69a1ab24,+94772976243,+94725098473,VOICE,391,2026-01-07 15:25:01,TOWER_046,2
fd3f134c-b811-401d-8520-a697006a9977,+94753714958,+94769553919,VOICE,986,2026-01-07 18:55:01,TOWER_017,4
7ae4e408-b9eb-4520-92a7-24001b65dca2,+94744085284,+94741976316,DATA,0,2026-01-07 09:28:01,TOWER_012,1
151b3c19-cc24-4094-8eea-e3e47e628286,+94756840682,+94772388847,VOICE,830,2026-01-07 18:05:01,TOWER_042,3
173e705f-517c-43f0-a619-998e1dd9c898,+94781951785,+94770453920,SMS,0,2026-01-07 20:04:01,TOWER_003,4
3fc0d5d3-9266-47d2-91f4-29805b78a480,+94746445474,+94770496623,VOICE,917,2026-01-07 06:23:01,TOWER_042,3
66e078f9-0637-40b7-8240-e741bad341ea,+94798486031,+94730682705,SMS,0,2026-01-07 11:03:01,TOWER_050,2
e65859c5-c948-4c63-9683-03bd71958375,+94722697905,+94784898023,SMS,0,2026-01-07 21:01:01,TOWER_047,2
